Vernier Format 2
Wooden_Ball2.cmbl 9/26/16 3:47 PM .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s	m	m	m/s	m/s

1.66833333333	0.395176496296	-0.0451977290169	0	-0.998117191689
1.70166666667	0.395176496296	-0.0790960471275	0	-0.936911942629
1.735	0.395176496296	-0.112994365238	0.0225814872365	-0.847458166276
1.76833333333	0.395176496296	-0.135593272443	0.0752716241247	-0.781544437838
1.80166666667	0.395176496296	-0.146892683349	0.244632778394	-1.21468916299
1.835	0.417757983533	-0.21468931957	0.244632778415	-1.74199557465
1.86833333333	0.417757983533	-0.271186374101	0.0752716241247	-2.09039557186
1.90166666667	0.417757983533	-0.350282592013	0.0188179060308	-2.51412405011
1.935	0.417757983533	-0.440677879262	0	-2.8719391559
1.96833333333	0.417757983533	-0.542372918986	0	-3.22033879726
2.00166666667	0.417757983533	-0.655367198832	0	-3.55932069748
2.035	0.417757983533	-0.779660889585	0	-3.90772076614
2.06833333333	0.417757983533	-0.915254162027	0	-4.26553729482
2.10166666667	0.417757983533	-1.06214684538	0	-4.66101767276
2.135	0.417757983533	-1.23163835054	-0.009408988595	-4.91525584156
2.16833333333	0.417757983533	-1.38983061558	-0.0376359543807	-5.16949258666
2.20166666667	0.417757983533	-1.57062153164	-0.112907863136	-5.56497068752
2.235	0.406467197219	-1.76271185862	-0.0846808973635	-5.92278522423
2.26833333333	0.406467197219	-1.9661015965	0.0846808973508	-6.26176854728
2.30166666667	0.417757983533	-2.18079074528	0.112907863136	-6.57250576286
2.335	0.417757983533	-2.40677964654	0.0376359543786	-6.8267450704
2.36833333333	0.417757983533	-2.6327685478	0.009408988595	-7.16572512017
2.40166666667	0.417757983533	-2.88135592931	0	-7.55931887579
2.435	0.417757983533	-3.14124272172	0	-7.83898111785
2.46833333333	0.417757983533	-3.4124292666	0	-8.02259939166
