Vernier Format 2
Untitled.cmbl 9/26/16 3:36 PM .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s	m	m	m/s	m/s

1.86833333333	0.00534382835623	-0.00725042038282	-0.0318660451393	-0.380602314417
1.90166666667	0.00534382835623	-0.0209993657013	-0.057757206815	-0.371897334389
1.935	0.00056392158533	-0.029968404249	-0.0525789744798	-0.41488516635
1.96833333333	0.00056392158533	-0.0437173495675	-0.0159330225696	-0.590036525413
2.00166666667	0.00056392158533	-0.0712152402046	-0.0154407100745	-0.756975216943
2.035	0.00056392158533	-0.0918386581824	-0.0458298177284	-1.00648814061
2.06833333333	0.00056392158533	-0.131554849835	-0.148946907617	-1.42949646313
2.10166666667	-0.0131850237332	-0.191518511742	-0.148946907617	-1.75354997413
2.135	-0.0131850237332	-0.251294199787	-0.0458298177284	-2.01975676695
2.16833333333	-0.0131850237332	-0.321757544544	-0.0114574544321	-2.40223881998
2.20166666667	-0.0131850237332	-0.408064400509	0	-2.85621807402
2.235	-0.0131850237332	-0.51386683128	0.00270771872321	-3.24720370651
2.26833333333	-0.0131850237332	-0.636264668706	0.00485599142923	-3.31456100698
2.30166666667	-0.0131850237332	-0.735085213182	0.0115469657949	-3.34723265439
2.335	-0.00993576126534	-0.854153227914	-0.0534159057216	-3.50331809318
2.36833333333	-0.0171056214217	-0.969998833586	-0.103408001818	-3.64360477645
2.40166666667	-0.0168102339246	-1.09535054598	-0.158927424564	-3.84842915227
2.435	-0.0311231008285	-1.22636832764	-0.138854501467	-4.07464674378
2.46833333333	-0.0215901406955	-1.36396519446	-0.242710060099	-4.41239549328
2.50166666667	-0.0427774802586	-1.51643884977	-0.451271535308	-4.86357751723
2.535	-0.0565264255772	-1.68687743558	-0.534360457782	-5.35452496407
2.56833333333	-0.0843197037113	-1.87965805754	-0.45686599548	-5.69665977035
2.60166666667	-0.0843197037113	-2.06556420684	-0.422247475936	-6.05557795714
2.635	-0.110286950045	-2.27802837746	-0.458745734098	-6.53607495238
2.66833333333	-0.117161422705	-2.50700739452	-0.450868734176	-6.89280011079
2.70166666667	-0.133864242994	-2.73740964224	-0.610333226917	-7.26279532872
2.735	-0.162812217707	-2.98392393525	-0.636425789158	-7.81635597381
2.76833333333	-0.177689006197	-3.26150762228	-0.613398991091	-8.29201935547
2.80166666667	-0.203656252531	-3.53823200022	-0.571494246619	-8.68327799762
2.835	-0.220090538732	-3.84709990853	-0.419260034205	-8.88167545759
2.86833333333	-0.226965011391	-4.13958723746	-0.301787559514	-8.85755214533
