Vernier Format 2
Untitled.cmbl 9/26/16 3:10 PM .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s	m	m	m/s	m/s

1.90166666667	-0.0252500803354	-0.0063844153957	0.0190183453419	-0.348211992732
1.935	-0.0240708603757	-0.0173601313826	-0.000147444716494	-0.422242056329
1.96833333333	-0.0255603249873	-0.0273180176254	-0.0159042293323	-0.611183955346
2.00166666667	-0.0235213188114	-0.0537293604637	-0.0630188682823	-0.916954764586
2.035	-0.0281165989273	-0.0923232602326	-0.155280954039	-1.16214916558
2.06833333333	-0.0381095749198	-0.129952040541	-0.144579274368	-1.45754401483
2.10166666667	-0.035750113182	-0.183907221958	-0.186154103691	-1.9042348969
2.135	-0.0485443356637	-0.256167396384	-0.275143078537	-2.37605587274
2.16833333333	-0.0552847753798	-0.344801072125	-0.327059859923	-2.76340928268
2.20166666667	-0.0714888671879	-0.445439598483	-0.334768547705	-2.95995463714
2.235	-0.0823384565876	-0.549082982199	-0.207712357603	-2.96720511034
2.26833333333	-0.084315592893	-0.647066080139	-0.117956862739	-2.94835271296
2.30166666667	-0.0866754678698	-0.724619544587	-0.134735406619	-3.52206353934
2.335	-0.0881865559718	-0.862719776501	-0.284122609531	-4.62484610413
2.36833333333	-0.107706842775	-1.05115473213	-0.369340317558	-5.2827294969
2.40166666667	-0.122227528861	-1.22481732865	-0.214165682548	-5.63774087065
2.435	-0.120267405979	-1.42682787373	-0.123374899601	-5.90455140254
2.46833333333	-0.120379403636	-1.62083851966	-0.307955164105	-6.12367298634
2.50166666667	-0.134050675095	-1.83449408547	-0.684878802384	-6.49206070733
2.535	-0.173838065554	-2.0339726804	-0.846739629345	-7.52418360656
2.56833333333	-0.198372007574	-2.30310035487	-0.794807191024	-9.39453890885
2.60166666667	-0.228640329667	-2.66826528739	-0.691057473174	-10.9206163531
2.635	-0.232680190789	-3.09611147376	-0.865772263312	-10.7109200775
2.66833333333	-0.285039108767	-3.40079958248	-1.07311841759	-9.91293371218
2.70166666667	-0.320942864332	-3.7016529329	-0.878485961803	-10.3631754093
2.735	-0.33746319936	-4.09861038342	-0.684563826002	-11.1142472786
