Vernier Format 2
Untitled.cmbl 10/2/17 4:21 PM .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

5.55	0.538167	0.3935925	0.61697654321
5.6	0.559433	0.403501388889	-0.207229166667
5.65	0.5801845	0.371011666667	-0.994170679012
5.7	0.5980205	0.300315555556	-1.68112345679
5.75	0.611569	0.196462777778	-2.19879938272
5.8	0.6186005	0.0702197222222	-2.46838256173
5.85	0.618772	-0.0616447222222	-2.46308935185
5.9	0.6120835	-0.185505833333	-2.21192654321
5.95	0.599564	-0.291645277778	-1.73410848765
6	0.581728	-0.367391111111	-1.05424861111
6.05	0.561148	-0.4021675	-0.252909567901
6.1	0.5397105	-0.392639722222	0.557110339506
6.15	0.520331	-0.343190555556	1.29339583333
6.2	0.5040385	-0.258869722222	1.90926080247
6.25	0.493234	-0.145203333333	2.33854012346
6.3	0.488775	-0.0141011111111	2.50331774691
6.35	0.491862	0.117001111111	2.38162685185
6.4	0.501123	0.23324	2.02010061728
6.45	0.5160435	0.326612222222	1.45854398148
6.5	0.53508	0.386541944444	0.72289367284
6.55	0.5565175	0.402548611111	-0.0978714506173
6.6	0.5770975	0.374918055556	-0.886136265432
6.65	0.595448	0.309748055556	-1.57414768519
6.7	0.6093395	0.212278888889	-2.11765447531
6.75	0.617743	0.0895611111111	-2.44413966049
6.8	0.618772	-0.0442088888889	-2.48288595679
6.85	0.612941	-0.170166111111	-2.2425212963
6.9	0.600936	-0.276400833333	-1.78820509259
6.95	0.5843005	-0.3558625	-1.15519012346
7	0.563892	-0.398261111111	-0.37687654321
7.05	0.542626	-0.395783888889	0.451934259259
7.1	0.5225605	-0.349955277778	1.21457993827
7.15	0.506268	-0.268588055556	1.83732608025
7.2	0.494606	-0.159495	2.27946790123
7.25	0.489461	-0.0306794444444	2.47436388889
7.3	0.491519	0.09947	2.39157808642
7.35	0.4999225	0.217805	2.06858641975
7.4	0.514157	0.314035555556	1.54175324074
7.45	0.5325075	0.379300833333	0.837650462963
7.5	0.5537735	0.402929722222	0.0182615740741
7.55	0.5746965	0.380634722222	-0.794616666667
7.6	0.59339	0.318704166667	-1.5007837963
7.65	0.607796	0.224665	-2.05318317901
7.7	0.6168855	0.105663055556	-2.40137052469
7.75	0.6189435	-0.0265825	-2.48013348765
7.8	0.61397	-0.153778333333	-2.2811617284
7.85	0.6028225	-0.263157222222	-1.85844598765
7.9	0.5867015	-0.347096944444	-1.24422191358
7.95	0.566636	-0.393973611111	-0.4802
8	0.5455415	-0.397498888889	0.339824074074
8.05	0.525133	-0.357672777778	1.10929799383
8.1	0.508326	-0.280974166667	1.74660046296
8.15	0.495978	-0.176549722222	2.21404382716
8.2	0.489804	-0.0513547222222	2.46478317901
