Vernier Format 2
1cm_data_150.cmbl 11/20/17 4:28 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

5.45	64.4724625687	20.5851888996	2.78498525404
5.5	65.5022068273	20.7209367302	2.15472747324
5.55	66.5494043785	20.7791143724	1.96080200284
5.6	67.5791486372	20.8566845615	2.78498525932
5.65	68.6263461884	21.0796988548	3.23747802812
5.7	69.6909970321	21.2445355067	2.55335205417
5.75	70.7556478759	21.3221056956	1.96618881386
5.8	71.8202987196	21.4287647048	1.64836651197
5.85	72.9024028558	21.4772460729	1.62681924139
5.9	73.9670536995	21.5451199886	2.42406840583
5.95	75.0491578358	21.7487417345	2.74727752411
6	76.1487152645	21.8457044703	2.58028614806
6.05	77.2308194007	21.9911485751	2.56951251466
6.1	78.347830122	22.1268964062	2.10624610599
6.15	79.4473875508	22.1947703216	1.76148970515
6.2	80.5643982721	22.3014293308	1.49214877083
6.25	81.6814089933	22.3402144253	1.44366740738
6.3	82.7984197146	22.3983920674	2.22475611657
6.35	83.9154304359	22.5535324454	3.08126028358
6.4	85.0498944497	22.7765467385	2.71495661219
6.45	86.201811756	22.8541169274	1.76687652512
6.5	87.3362757698	22.9025982954	1.64297969633
6.55	88.4881930761	23.0092573052	1.78842380231
6.6	89.6401103824	23.0771312207	2.07931201346
6.65	90.7920276887	23.2128790518	2.41868158985
6.7	91.9613982876	23.3486268825	2.25707702685
6.75	93.1307688864	23.4261970714	2.25707702515
6.8	94.3001394853	23.561944902	2.42406840395
6.85	95.4869633766	23.6976927326	2.11163292423
6.9	96.673787268	23.7655666481	1.93386791324
6.95	97.8606111593	23.8819219321	1.93386791744
7	99.0648883432	23.9497958493	2.1062460991
7.05	100.251712235	24.0855436779	2.39174747046
7.1	101.473442711	24.2212915067	2.10624609126
7.15	102.677719895	24.2891654221	1.9338679159
7.2	103.899450371	24.4055207078	1.92848110037
7.25	105.121180848	24.4733946233	2.07392518873
7.3	106.342911324	24.6091424522	2.24091657228
7.35	107.582095093	24.7351940111	1.77765017284
7.4	108.821278862	24.7836753794	1.41134649228
7.45	110.060462631	24.8321567472	1.78303697006
7.5	111.2996464	24.9582083022	2.27323747654
7.55	112.556283461	25.0939561344	2.21936929815
7.6	113.812920523	25.1715263233	2.21936928827
7.65	115.069557584	25.3072741522	2.27323748333
7.7	116.343647938	25.4333257111	1.78303699136
7.75	117.617738292	25.4818070794	1.41134649228
7.8	118.891828646	25.5302884472	1.77765015154
7.85	120.165919	25.6563400022	2.23552974691
7.9	121.457462646	25.7920878344	2.03083064969
7.95	122.749006293	25.85996175	1.70762152716
8	124.040549939	25.9666207589	1.27667604877
8.05	125.349546878	25.9957095839	0.818796458025
8.1	126.641090525	26.0151021311	1.08275053457
8.15	127.950087464	26.063583495	2.06853835123
8.2	129.24163111	26.2187238739	3.05432618796
8.25	130.568081342	26.4417381672	2.74189070432
8.3	131.894531573	26.5193083561	1.91232062284
8.35	133.220981805	26.5774859972	1.93386789043
8.4	134.547432036	26.7035375522	2.12779337685
8.45	135.89133556	26.8295891111	1.75071608704
8.5	137.235239084	26.87807048	1.40057287377
8.55	138.579142608	26.9265518489	1.74532927037
8.6	139.923046132	27.0526034078	2.09008565556
8.65	141.284402949	27.1786549633	1.73994244012
8.7	142.645759765	27.2271363322	1.36286515123
8.75	144.007116582	27.2756177044	1.55679060093
8.8	145.368473399	27.3919729856	1.56756419136
8.85	146.747283508	27.4889357178	0.662578641975
8.9	148.126093617	27.4404543461	-0.0161604817911
8.95	149.487450433	27.4404543461	0.0161604817894
9	150.866260542	27.4889357178	-0.662578641974
9.05	152.245070651	27.3919729856	-1.56217737284
9.1	153.606427468	27.2756177044	-1.5190828713
9.15	154.967784285	27.2271363322	-1.17648123043
9.2	156.329141101	27.1883512367	-1.24004568096
9.25	157.690497918	27.0913885011	-1.15062450275
9.3	159.034401442	27.0584211663	-0.859736295091
9.35	160.395758258	27.0332108542	-1.00948982765
9.4	161.739661782	26.9556406667	-1.26913446772
