Vernier Format 2
3cm_data_200.cmbl 11/20/17 4:21 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	0	0
0.05	0	0	-0.00808022801849
0.1	0	0	-0.0420171856962
0.15	0	0	-0.183151835086
0.2	0	-0.00969627362219	-0.474040043752
0.25	0	-0.0387850944888	-0.813409620528
0.3	0	-0.126051557088	-0.490200499789
0.35	-0.0174532925199	-0.126051557088	0.495587318468
0.4	-0.0174532925199	-0.0387850944888	0.851117351281
0.45	-0.0174532925199	-0.00969627362219	0.657191878837
0.5	-0.0174532925199	0.00969627362219	0.657191878837
0.55	-0.0174532925199	0.0387850944888	0.851117351281
0.6	-0.0174532925199	0.126051557088	0.495587318468
0.65	0	0.126051557088	-0.490200499789
0.7	0	0.0387850944888	-0.813409620528
0.75	0	0.00969627362219	-0.479426862431
0.8	0	0	-0.226246384518
0.85	0	0	-0.247793659234
0.9	0	-0.00969627362219	-0.576389598652
0.95	0	-0.048481368111	-0.818796439207
1	0	-0.145444104333	0.237020021876
1.05	-0.0174532925199	-0.155140377955	3.79770716869
1.1	-0.0349065850399	0.213318019688	7.91862345812
1.15	0	0.717524248042	10.5797118855
1.2	0.0349065850399	1.29930066537	12.3412015936
1.25	0.12217304764	2.01682491342	12.6482502583
1.3	0.244346095279	2.60829760437	12.0503133849
1.35	0.383972435439	3.18037774808	12.0772474783
1.4	0.558505360638	3.81063553352	12.249625676
1.45	0.767944870878	4.40210822447	12.5135797913
1.5	0.994837673637	5.06145483078	12.7075052637
1.55	1.27409035396	5.71110516347	12.249625676
1.6	1.57079632679	6.28318530718	11.8833220059
1.65	1.90240888467	6.85526545089	12.249625676
1.7	2.25147473507	7.50491578358	12.7075052637
1.75	2.65290046303	8.16426238988	12.5081929726
1.8	3.07177948351	8.75573508084	12.217304764
1.85	3.52556508903	9.38599286628	11.931803374
1.9	4.01425727959	9.94837673637	11.7648119949
1.95	4.52040276267	10.5204568801	12.368135687
2	5.06145483078	11.1798034864	13.0307143845
2.05	5.63741348394	11.8585426399	13.0307143845
2.1	6.24827872214	12.5178892462	12.3627488683
2.15	6.89405054538	13.08996939	11.7271042642
2.2	7.55727566114	13.65235326	11.7432647202
2.25	8.25540736193	14.2729147719	11.7055569895
2.3	8.98844564777	14.835298642	11.5062446983
2.35	9.73893722613	15.397682512	11.7055569895
2.4	10.5243353895	16.0182440239	11.7378779015
2.45	11.344640138	16.5806278939	11.6893965334
2.5	12.1823981789	17.1527080377	12.1795970332
2.55	13.0550628049	17.8023583703	12.5512875221
2.6	13.962634016	18.452008703	12.1795970332
2.65	14.905111812	19.0240888467	11.6893965334
2.7	15.8650429006	19.5864727168	11.7378779015
2.75	16.8598805743	20.2070342286	11.7001701708
2.8	17.8896248329	20.7694180987	11.4685369676
2.85	18.9368223841	21.3318019688	11.5170183357
2.9	20.0189265204	21.942667207	11.2207433083
2.95	21.1359372417	22.4759622562	10.6551273471
3	22.2704012554	22.9510796637	11.0214310172
3.05	23.4223185618	23.5619449019	11.6786228961
3.1	24.6265957456	24.1825064137	11.3177060446
3.15	25.848326222	24.6770163685	11.1668751216
3.2	27.087509991	25.2781853331	11.3338665006
3.25	28.3790536374	25.8308729295	11.1668751216
3.3	29.6705972839	26.383560526	11.1561014842
3.35	31.0145008079	26.9750332169	10.6928350778
3.4	32.3758576245	27.4404543508	10.4989096054
3.45	33.7546677336	27.9737494	11.1453278468
3.5	35.1683844277	28.5846146382	11.2799983138
3.55	36.6170077068	29.1373022347	10.7143823525
3.6	38.0830842785	29.6609010103	9.86865181992
3.65	39.5840674352	30.1457146914	8.52733396885
3.7	41.1025038845	30.5238693627	6.93283563987
3.75	42.6383936262	30.8438463922	5.11747774505
3.8	44.1917366605	31.0474681383	2.80653253176
3.85	45.7450796948	31.1735196953	-0.904985538071
3.9	47.3158760216	31.0765569591	-7.13214793099
3.95	48.8692190558	30.5723507308	-15.0292241144
4	50.4051087976	29.4475829906	-19.9258422936
4.05	51.8188254917	28.2161562406	-17.5179343441
4.1	53.1976356008	27.5277208134	-11.2369037644
4.15	54.5589924173	27.1592624158	-5.74234871181
4.2	55.9028959414	27.0622996795	-2.54257841649
4.25	57.2642527579	27.0138183114	-1.91232063104
4.3	58.608156282	26.9071593016	-2.60183342195
4.35	59.952059806	26.8101965654	-4.8212027177
4.4	61.29596333	26.5290046303	-8.8720903643
4.45	62.6224135616	25.9084431185	-12.3034938628
4.5	63.8965039155	25.1036524079	-11.8725483685
4.55	65.1182343919	24.5703573586	-8.45730532602
4.6	66.3399648683	24.3085579708	-5.95782145897
4.65	67.5442420522	24.1437213193	-6.76584426082
4.7	68.7659725286	23.7558703744	-10.0571904737
4.75	69.9353431274	23.0674349472	-12.1795970332
4.8	71.0698071412	22.4080883409	-11.8994824619
4.85	72.16936457	21.8554007444	-11.0052705612
4.9	73.2514687062	21.3802833369	-11.2422905831
4.95	74.3161195499	20.7597218251	-12.0179924728
5	75.3284105161	20.119767766	-11.8402274564
5.05	76.3232481897	19.557383896	-11.3230928632
5.1	77.2831792783	19.0143925731	-11.209969671
5.15	78.2256570744	18.4617049767	-11.5547260664
5.2	79.1332282854	17.8411434648	-11.6678492587
5.25	80.0058929114	17.2787595947	-11.5008578797
5.3	80.8611042449	16.7163757247	-11.7001701708
5.35	81.6814089933	16.0958142128	-11.7001701708
5.4	82.4668071567	15.5334303427	-11.5008578797
5.45	83.2347520276	14.9710464727	-11.6678492587
5.5	83.9677903134	14.3504849608	-11.5493392478
