# 1 id
# 2 ra
# 3 dec
# 4 width
1.1     181.54479       -8.80028	20.0		
1.2     181.54508       -8.80249	20.0
1.3     181.54704       -8.79540	10.0
2.1     181.56054       -8.80899	8.0
2.2     181.56250       -8.80491	8.0
2.3     181.56263       -8.79669	5.0
3.1     181.56013       -8.80950	5.0
3.2     181.56250       -8.80458	5.0
3.3     181.56254       -8.79685	5.0
4.1     181.55242       -8.79531	5.0
4.2     181.54675       -8.79730	5.0
4.3     181.55479       -8.79996	5.0
4.4     181.55050       -8.79986	5.0
4.5     181.54875       -8.81196	5.0
5.1     181.55692       -8.80174	5.0
5.2     181.55675       -8.79607	5.0
5.3     181.55246       -8.80946	5.0
6.1     181.54325       -8.79781	5.0
6.2     181.54433       -8.80749	5.0
6.3     181.54671       -8.79312	5.0
7.1     181.56658       -8.80444	5.0
7.2     181.56646       -8.80478	5.0
7.3     181.56646       -8.80513	5.0
7.4     181.56625       -8.80639	5.0
7.5     181.56563       -8.80764	5.0
8.1     181.55138       -8.79128	5.0
8.2     181.54408       -8.79708	5.0
8.3     181.55521       -8.80106	5.0 
8.4     181.54733       -8.81250	5.0
9.1     181.54996       -8.79636	5.0
9.2     181.54813       -8.79704	5.0
9.3     181.55221       -8.80041	5.0
9.4     181.55129       -8.80034	5.0
9.5     181.54783       -8.80850	5.0 
10.1    181.55054       -8.79569	2.0
10.2    181.54717       -8.79800	2.0
10.3    181.55221       -8.80041	2.0
10.4    181.55129       -8.80034	2.0
10.5    181.54713       -8.80912	2.0
11.1    181.55017       -8.80063	10.0
11.2    181.54904       -8.80014	10.0
11.3    181.55450       -8.80111	5.0
11.4    181.55367       -8.79576	2.0
11.5    181.54996       -8.80888	2.0
12.1    181.55758       -8.80306	2.0
12.2    181.55175       -8.81098	2.0
12.3    181.55596       -8.79164	2.0
13.1    181.55900       -8.80142	2.0
13.2    181.55871       -8.79621	2.0
13.3    181.55371       -8.81141	2.0
