Vernier Format 2
Untitled.cmbl 11/20/17 3:51 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

4.9	-65.9559924329	-20.3427820594	-2.49948386705
4.95	-66.9857366915	-20.4203522483	-2.24630338914
5	-67.9980276577	-20.5076187109	-2.8981084493
5.05	-69.0277719164	-20.7306330042	-3.12435483382
5.1	-70.0749694676	-20.8857733822	-2.26246384518
5.15	-71.1221670188	-20.9439510239	-1.59449832898
5.2	-72.16936457	-20.992432392	-1.8207447135
5.25	-73.2165621212	-21.1184839491	-2.27862430121
5.3	-74.2812129649	-21.2542317798	-2.22475611442
5.35	-75.3458638086	-21.3318019688	-2.2570770265
5.4	-76.4105146523	-21.4675497995	-2.45638931762
5.45	-77.4926187885	-21.6032976302	-2.26246384518
5.5	-78.5747229248	-21.6808678192	-2.26246384518
5.55	-79.656827061	-21.8166156499	-2.45638931762
5.6	-80.7563844898	-21.9523634806	-2.26246384518
5.65	-81.8559419185	-22.0299336696	-2.2570770265
5.7	-82.9554993473	-22.1656815003	-2.42406840555
5.75	-84.0725100686	-22.301429331	-2.11163292217
5.8	-85.1895207898	-22.3693032464	-1.93386790576
5.85	-86.3065315111	-22.4856585299	-1.93386790576
5.9	-87.4409955249	-22.5535324452	-2.10624610349
5.95	-88.5580062462	-22.6892802759	-2.39174749347
6	-89.7099235525	-22.8250281066	-2.10624610349
6.05	-90.8443875663	-22.892902022	-1.93386790576
6.1	-91.9963048726	-23.0092573055	-1.93386790576
6.15	-93.1482221789	-23.0771312208	-2.11163292217
6.2	-94.3001394853	-23.2128790515	-2.42406840555
6.25	-95.4695100841	-23.3486268822	-2.25169020782
6.3	-96.6388806829	-23.4261970712	-2.22475611442
6.35	-97.8082512818	-23.5619449019	-2.27323748254
6.4	-98.9950751731	-23.687996459	-1.78303698275
6.45	-100.181899064	-23.7364778271	-1.4113464939
6.5	-101.368722956	-23.7849591952	-1.78303698275
6.55	-102.555546847	-23.9110107523	-2.27862430121
6.6	-103.759824031	-24.046758583	-2.26785066386
6.65	-104.964101215	-24.124328772	-2.4887102297
6.7	-106.168378399	-24.2697728763	-3.07048664703
6.75	-107.390108875	-24.4443058015	-3.08126028438
6.8	-108.611839352	-24.6576238212	-0.430945494319
6.85	-109.851023121	-24.7254977366	6.66349470592
6.9	-111.107660182	-24.2988616972	17.1516306739
6.95	-112.381750536	-22.2820367838	13.9356999226
7	-113.236961869	-21.9911485751	-5.17673275051
7.05	-114.476145638	-23.5619449019	-11.6732360774
7.1	-115.680422822	-23.8334405633	-5.54303642069
7.15	-116.867246714	-23.9207070259	-0.635644604121
7.2	-118.071523897	-23.8140480161	2.86040071855
7.25	-119.258347789	-23.5619449019	4.09398219604
7.3	-120.427718388	-23.3098417877	3.46372441059
7.35	-121.579635694	-23.2128790515	2.65570160874
7.4	-122.749006293	-23.1256125889	3.24286484476
7.45	-123.900923599	-22.892902022	4.23942630037
7.5	-125.035387613	-22.6989765495	6.06555783255
7.55	-126.169851627	-22.4371771617	11.7324910829
7.6	-127.286862348	-21.8457044708	23.4488217097
7.65	-128.403873069	-20.2361230495	37.0936334236
7.7	-129.363804158	-17.656914266	42.3942630037
7.75	-130.131749029	-15.6206968053	42.3942630037
7.8	-130.882240607	-14.0789892994	54.6600491358
7.85	-131.615278893	-10.9664854667	80.0265782951
7.9	-132.103971083	-5.54626851189	93.7037109211
7.95	-132.173784254	-0.0678739153554	77.4085844172
8	-131.981798036	2.93797090752	44.7590764038
8.05	-131.789811818	3.90759826974	19.5918595355
8.1	-131.580372308	4.27605666739	7.25065794193
8.15	-131.353479505	4.35362685636	2.72573025157
8.2	-131.144039995	4.4118044981	2.20320883971
8.25	-130.917147192	4.54755232881	2.63954115271
8.3	-130.690254389	4.70269270676	2.75266434497
8.35	-130.445908294	4.8481368111	2.40790794951
8.4	-130.201562199	4.92570700007	2.27862430122
8.45	-129.957216103	5.06145483078	2.29478475725
