Vernier Format 2
1cm_data_100.cmbl 11/20/17 4:28 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	1.14416028742	2.18166156499
0.05	0.0523598775598	1.25566743407	2.11701974083
0.1	0.12217304764	1.36717458073	1.97642377331
0.15	0.191986217719	1.43504849608	2.08739223813
0.2	0.261799387799	1.5707963268	2.23822316115
0.25	0.349065850399	1.69684788389	1.78303698273
0.3	0.436332312999	1.74532925199	1.44905422463
0.35	0.523598775598	1.7938106201	1.96618881785
0.4	0.610865238198	1.92955845082	2.74727752633
0.45	0.715584993318	2.09439510239	3.03816573504
0.5	0.820304748437	2.25923175398	2.75266434515
0.55	0.942477796077	2.39497958471	2.0038965487
0.6	1.06465084372	2.44346095282	1.63759287826
0.65	1.18682389136	2.50163859453	2.30017157554
0.7	1.308996939	2.65677897247	3.27518575629
0.75	1.44862327916	2.88948953935	3.22670438842
0.8	1.60570291183	2.99614854919	2.76882480129
0.85	1.74532925199	3.14159265358	2.65031479054
0.9	1.91986217719	3.27734048431	2.33249248828
0.95	2.07694180987	3.35491067329	2.41868158698
1	2.25147473507	3.50035477762	2.78498525707
1.05	2.42600766027	3.65549515558	2.79037207573
1.1	2.61799387799	3.80093925991	2.45100249895
1.15	2.80998009571	3.87850944889	2.47793659235
1.2	3.00196631343	4.02395355322	2.93581618006
1.25	3.21140582367	4.1887902048	3.07587346572
1.3	3.42084533391	4.35362685638	2.75805116365
1.35	3.64773813667	4.48937468709	2.00389654857
1.4	3.87463093943	4.5378560552	1.63220605964
1.45	4.10152374219	4.59603369693	2.26785066359
1.5	4.32841654495	4.75117407487	3.12974165204
1.55	4.57276264023	4.97418836813	2.93581617978
1.6	4.83456202802	5.06145483073	2.42406840584
1.65	5.0789081233	5.14872129338	2.93581618053
1.7	5.3407075111	5.37173558671	3.13512847146
1.75	5.61996019142	5.52687596467	2.30017157604
1.8	5.89921287174	5.5850536064	1.7776501641
1.85	6.17846555206	5.64323124813	2.30017157594
1.9	6.45771823238	5.79837162609	3.12974165248
1.95	6.75442420522	6.0213859194	2.8981084492
2	7.06858347058	6.10865238199	2.24630338888
2.05	7.36528944342	6.18622257096	2.4994838666
2.1	7.67944870878	6.38014804335	2.49948386678
2.15	8.01106126665	6.45771823233	2.24630338943
2.2	8.32522053201	6.54498469498	2.89810844979
2.25	8.65683308989	6.76799898831	3.12435483415
2.3	9.00589894029	6.92313936627	2.26785066401
2.35	9.35496479069	6.98131700801	1.62681924092
2.4	9.70403064109	7.02979837613	1.96618881722
2.45	10.0530964915	7.16554620674	2.57489932814
2.5	10.4196156344	7.32068658463	2.6018334234
2.55	10.7861347773	7.45643441567	2.11701974204
2.6	11.1701072128	7.51461205739	1.95541517829
2.65	11.5366263557	7.59218224594	2.79037207381
2.7	11.9205987911	7.81519653939	3.27518575716
2.75	12.3220245191	7.98003319094	2.7365038904
2.8	12.723450247	8.06729965367	2.44561568302
2.85	13.124875975	8.20304748472	2.49409704873
2.9	13.5437549955	8.33879531528	2.26785065957
2.95	13.962634016	8.41636550372	2.25707702219
3	14.3815130364	8.55211333428	2.42406840583
3.05	14.8178453494	8.68786116533	2.11163292466
3.1	15.2541776624	8.75573508078	1.93386790731
3.15	15.6905099754	8.87209036422	1.93386790735
3.2	16.1442955809	8.93996427967	2.11163292485
3.25	16.5806278939	9.07571211072	2.42945522537
3.3	17.051866792	9.21145994133	2.28939793611
3.35	17.5056523975	9.28903012989	2.4132947667
3.4	17.9768912955	9.43447423444	2.78498525775
3.45	18.4481301936	9.58961461239	2.78498525762
3.5	18.9368223841	9.73505871672	2.41329476932
3.55	19.4255145747	9.812628906	2.29478475589
3.6	19.9142067653	9.94837673622	2.46177613364
3.65	20.4203522483	10.0841245668	2.26246384648
3.7	20.9264977314	10.1616947562	2.26246384747
3.75	21.4326432145	10.2974425869	2.45638931756
3.8	21.9562419901	10.4331904176	2.257077025
3.85	22.4798407657	10.5107606064	2.22475611231
3.9	23.0034395413	10.646508437	2.27862429972
3.95	23.5444916094	10.772559994	1.82613153302
4	24.0855436775	10.8210413622	1.63220606361
4.05	24.6265957456	10.8792190044	2.44022886454
4.1	25.1676478138	11.044055656	3.56607396435
4.15	25.7261531744	11.2961587699	3.56068714386
4.2	26.3021118276	11.4609954213	2.40252112849
4.25	26.8780704807	11.519173063	1.44905422389
4.3	27.4540291339	11.5579581575	1.34670467009
4.35	28.029987787	11.6549208937	1.42750695133
4.4	28.6233997327	11.7034022622	1.55140377886
4.45	29.1993583859	11.7712761771	2.27323748009
4.5	29.7927703315	11.9652016494	2.45638931892
4.55	30.4036355697	12.0427718388	2.24091657383
4.6	30.9970475154	12.1300383015	2.89810845145
4.65	31.6079127536	12.3530525948	3.11896801728
4.7	32.2362312843	12.5081929731	2.23014293361
4.75	32.8645498151	12.5663706147	1.44366740176
4.8	33.4928683458	12.6051557087	1.4921487688
4.85	34.1211868765	12.7118147183	1.75610288759
4.9	34.7669586997	12.7796886337	2.06853837525
4.95	35.3952772304	12.9154364648	2.38636067846
5	36.0585023462	13.0511842956	2.10624610586
5.05	36.7042741694	13.119058211	1.93386790762
5.1	37.3674992852	13.2354134947	1.93386790463
5.15	38.030724401	13.3032874097	2.11163291886
5.2	38.6939495167	13.4390352402	2.42406840395
5.25	39.374627925	13.5747830711	2.25169020546
5.3	40.0553063333	13.6523532597	2.22475611185
5.35	40.7359847415	13.7881010903	2.27323748401
5.4	41.4341164423	13.9141526477	1.78303698664
